x,y,speed
705,702,0
658,681,10.295630140987
614,661,9.666436778875658
566,640,5.821416398857661
513,613,14.870272357963051
471,590,6.840754225035931
423,565,6.7650295638674045
388,544,5.8309518948453
361,527,4.558016038155376
343,516,3.013574729961284
331,506,2.231499907401901
324,499,1.4142135623730951
318,493,1.414213562373095
316,487,1.2649110640673518
314,477,1.2747548783981961
316,468,1.536590742882148
299,461,0.09238581060728761
264,441,5.758755534498964
242,425,4.533823502911814
227,412,2.835633320182744
206,393,4.0456577881446565
184,369,4.65109159888563
168,349,3.6589281356759136
154,330,3.3715496346302705
141,311,3.2888184094918107
136,300,2.0138409955990952
132,293,1.1517511068997928
129,287,1.118033988749895
128,284,0.5270462766947299
128,283,0.1111111111111111
128,281,0.2857142857142857
128,280,0.09090909090909091
130,280,0.2857142857142857
132,280,0.2857142857142857
136,280,0.5714285714285714
140,280,0.6666666666666666
144,281,0.6871842709362768
146,281,0.2857142857142857
148,282,0.2795084971874737
152,284,0.6388765649999399
154,286,0.47140452079103173
156,288,0.3535533905932738
157,289,0.23570226039551587
160,291,0.45069390943299864
162,293,0.25712973861329
164,293,1
167,295,0.5150787536377127
168,297,0.31943828249996997
169,298,0.23570226039551587
171,299,0.31943828249996997
172,301,0.2795084971874737
173,301,0.16666666666666666
174,301,0.14285714285714285
176,301,0.3333333333333333
176,302,0.14285714285714285
177,303,0.10101525445522108
178,304,0.0642824346533225
178,305,0.16666666666666666
179,305,0.14285714285714285
180,307,0.37267799624996495
180,309,0.3333333333333333
181,311,0.2795084971874737
183,313,0.4040610178208843
185,315,0.4040610178208843
188,319,0.8333333333333334
189,320,0.1767766952966369
191,322,0.4040610178208843
192,325,0.5270462766947299
194,326,0.31943828249996997
196,329,0.5150787536377127
198,330,0.31943828249996997
200,334,0.6388765649999399
203,337,0.6060915267313264
206,341,0.8333333333333334
208,345,0.447213595499958
211,349,1
213,353,0.6388765649999399
216,358,1.1661903789690602
218,361,0.45069390943299864
221,365,0.7142857142857143
224,369,0.7142857142857143
224,370,0.14285714285714285
226,372,0.565685424949238
227,373,0.20203050891044216
228,373,0.14285714285714285
228,374,0.14285714285714285
229,374,0.14285714285714285
229,375,0.125
230,375,0.02564102564102564
231,375,0.023809523809523808
232,375,0.037037037037037035
232,376,0.07142857142857142
234,377,0.37267799624996495
235,377,0.125
236,377,0.16666666666666666
237,379,0.2795084971874737
240,381,0.6009252125773316
242,382,0.31943828249996997
244,383,0.31943828249996997
246,384,0.37267799624996495
247,385,0.1767766952966369
248,386,0.23570226039551587
248,387,0.14285714285714285
248,389,0.0006459948320413437
248,392,0.42857142857142855
248,395,0.2727272727272727
248,397,0.6666666666666666
247,399,0.31943828249996997
247,401,0.5
246,402,0.23570226039551587
245,403,0.1767766952966369
244,405,0.37267799624996495
243,406,0.07071067811865475
242,407,0.0831890330807703
241,407,0.14285714285714285
240,408,0.03928371006591931
240,409,0.03571428571428571
239,410,0.07071067811865475
239,411,0.3333333333333333
239,413,0.3333333333333333
238,413,0.125
236,416,0.5150787536377127
235,419,0.45175395145262565
233,421,0.4040610178208843
231,424,0.6009252125773316
229,427,0.5150787536377127
228,430,0.39528470752104744
226,433,0.7211102550927978
224,435,0.3535533905932738
222,437,0.4040610178208843
221,439,0.37267799624996495
220,441,0.37267799624996495
220,442,0.14285714285714285
218,443,0.31943828249996997
216,445,0.47140452079103173
214,445,0.13333333333333333
212,446,0.31943828249996997
210,447,0.2795084971874737
210,448,0.3333333333333333
208,449,0.31943828249996997
205,449,0.5
204,450,0.23570226039551587
201,452,0.40061680838488767
199,453,0.447213595499958
197,454,0.31943828249996997
196,454,0.14285714285714285
196,455,0.16666666666666666
195,455,0.14285714285714285
194,455,0.06666666666666667
194,454,0.008620689655172414
194,453,0.07692307692307693
195,452,0.10101525445522108
195,451,0.06666666666666667
195,450,0.16666666666666666
196,449,0.282842712474619
196,448,0.023809523809523808
